id,stateabb1,ccode1,stateabb2,ccode2,year,joint_igo_membership
511,USA,2,MEX,70,1995,1
512,USA,2,MEX,70,1996,1
513,USA,2,MEX,70,1997,1
514,USA,2,MEX,70,1998,1
515,USA,2,MEX,70,1999,1
516,USA,2,MEX,70,2000,1
517,USA,2,MEX,70,2001,1
518,USA,2,MEX,70,2002,1
519,USA,2,MEX,70,2003,1
520,USA,2,MEX,70,2004,1
521,USA,2,MEX,70,2005,1
522,USA,2,BLZ,80,1981,1
523,USA,2,BLZ,80,1982,1
524,USA,2,BLZ,80,1983,1
525,USA,2,BLZ,80,1984,1
526,USA,2,BLZ,80,1985,1
527,USA,2,BLZ,80,1986,1
528,USA,2,BLZ,80,1987,1
529,USA,2,BLZ,80,1988,1
530,USA,2,BLZ,80,1989,1
531,USA,2,BLZ,80,1990,1
532,USA,2,BLZ,80,1991,1
533,USA,2,BLZ,80,1992,1
534,USA,2,BLZ,80,1993,1
535,USA,2,BLZ,80,1994,1
536,USA,2,BLZ,80,1995,1
537,USA,2,BLZ,80,1996,1
538,USA,2,BLZ,80,1997,1
539,USA,2,BLZ,80,1998,1
540,USA,2,BLZ,80,1999,1
541,USA,2,BLZ,80,2000,1
542,USA,2,BLZ,80,2001,1
543,USA,2,BLZ,80,2002,1
544,USA,2,BLZ,80,2003,1
545,USA,2,BLZ,80,2004,1
546,USA,2,BLZ,80,2005,1
547,USA,2,GUA,90,1965,1
548,USA,2,GUA,90,1966,1
549,USA,2,GUA,90,1967,1
550,USA,2,GUA,90,1968,1
551,USA,2,GUA,90,1969,1
552,USA,2,GUA,90,1970,1
553,USA,2,GUA,90,1971,1
554,USA,2,GUA,90,1972,1
555,USA,2,GUA,90,1973,1
556,USA,2,GUA,90,1974,1
557,USA,2,GUA,90,1975,1
558,USA,2,GUA,90,1976,1
559,USA,2,GUA,90,1977,1
560,USA,2,GUA,90,1978,1
561,USA,2,GUA,90,1979,1
562,USA,2,GUA,90,1980,1
563,USA,2,GUA,90,1981,1
564,USA,2,GUA,90,1982,1
565,USA,2,GUA,90,1983,1
566,USA,2,GUA,90,1984,1
567,USA,2,GUA,90,1985,1
568,USA,2,GUA,90,1986,1
569,USA,2,GUA,90,1987,1
570,USA,2,GUA,90,1988,1
571,USA,2,GUA,90,1989,1
572,USA,2,GUA,90,1990,1
573,USA,2,GUA,90,1991,1
574,USA,2,GUA,90,1992,1
575,USA,2,GUA,90,1993,1
576,USA,2,GUA,90,1994,1
577,USA,2,GUA,90,1995,1
578,USA,2,GUA,90,1996,1
579,USA,2,GUA,90,1997,1
580,USA,2,GUA,90,1998,1
581,USA,2,GUA,90,1999,1
582,USA,2,GUA,90,2000,1
583,USA,2,GUA,90,2001,1
584,USA,2,GUA,90,2002,1
585,USA,2,GUA,90,2003,1
586,USA,2,GUA,90,2004,1
587,USA,2,GUA,90,2005,1
588,USA,2,HON,91,1965,1
589,USA,2,HON,91,1966,1
590,USA,2,HON,91,1967,1
591,USA,2,HON,91,1968,1
592,USA,2,HON,91,1969,1
593,USA,2,HON,91,1970,1
594,USA,2,HON,91,1971,1
595,USA,2,HON,91,1972,1
596,USA,2,HON,91,1973,1
597,USA,2,HON,91,1974,1
598,USA,2,HON,91,1975,1
599,USA,2,HON,91,1976,1
600,USA,2,HON,91,1977,1
601,USA,2,HON,91,1978,1
602,USA,2,HON,91,1979,1
603,USA,2,HON,91,1980,1
604,USA,2,HON,91,1981,1
605,USA,2,HON,91,1982,1
606,USA,2,HON,91,1983,1
607,USA,2,HON,91,1984,1
608,USA,2,HON,91,1985,1
609,USA,2,HON,91,1986,1
610,USA,2,HON,91,1987,1
611,USA,2,HON,91,1988,1
612,USA,2,HON,91,1989,1
613,USA,2,HON,91,1990,1
614,USA,2,HON,91,1991,1
615,USA,2,HON,91,1992,1
616,USA,2,HON,91,1993,1
617,USA,2,HON,91,1994,1
618,USA,2,HON,91,1995,1
619,USA,2,HON,91,1996,1
620,USA,2,HON,91,1997,1
621,USA,2,HON,91,1998,1
622,USA,2,HON,91,1999,1
623,USA,2,HON,91,2000,1
624,USA,2,HON,91,2001,1
625,USA,2,HON,91,2002,1
626,USA,2,HON,91,2003,1
627,USA,2,HON,91,2004,1
628,USA,2,HON,91,2005,1
629,USA,2,SAL,92,1965,1
630,USA,2,SAL,92,1966,1
631,USA,2,SAL,92,1967,1
632,USA,2,SAL,92,1968,1
633,USA,2,SAL,92,1969,1
634,USA,2,SAL,92,1970,1
635,USA,2,SAL,92,1971,1
636,USA,2,SAL,92,1972,1
637,USA,2,SAL,92,1973,1
638,USA,2,SAL,92,1974,1
639,USA,2,SAL,92,1975,1
640,USA,2,SAL,92,1976,1
641,USA,2,SAL,92,1977,1
642,USA,2,SAL,92,1978,1
643,USA,2,SAL,92,1979,1
644,USA,2,SAL,92,1980,1
645,USA,2,SAL,92,1981,1
646,USA,2,SAL,92,1982,1
647,USA,2,SAL,92,1983,1
648,USA,2,SAL,92,1984,1
649,USA,2,SAL,92,1985,1
650,USA,2,SAL,92,1986,1
651,USA,2,SAL,92,1987,1
652,USA,2,SAL,92,1988,1
653,USA,2,SAL,92,1989,1
654,USA,2,SAL,92,1990,1
655,USA,2,SAL,92,1991,1
656,USA,2,SAL,92,1992,1
657,USA,2,SAL,92,1993,1
658,USA,2,SAL,92,1994,1
659,USA,2,SAL,92,1995,1
660,USA,2,SAL,92,1996,1
661,USA,2,SAL,92,1997,1
662,USA,2,SAL,92,1998,1
663,USA,2,SAL,92,1999,1
664,USA,2,SAL,92,2000,1
665,USA,2,SAL,92,2001,1
666,USA,2,SAL,92,2002,1
667,USA,2,SAL,92,2003,1
668,USA,2,SAL,92,2004,1
669,USA,2,SAL,92,2005,1
670,USA,2,NIC,93,1965,1
671,USA,2,NIC,93,1966,1
672,USA,2,NIC,93,1967,1
673,USA,2,NIC,93,1968,1
674,USA,2,NIC,93,1969,1
675,USA,2,NIC,93,1970,1
676,USA,2,NIC,93,1971,1
677,USA,2,NIC,93,1972,1
678,USA,2,NIC,93,1973,1
679,USA,2,NIC,93,1974,1
680,USA,2,NIC,93,1975,1
681,USA,2,NIC,93,1976,1
682,USA,2,NIC,93,1977,1
683,USA,2,NIC,93,1978,1
684,USA,2,NIC,93,1979,1
685,USA,2,NIC,93,1980,1
686,USA,2,NIC,93,1981,1
687,USA,2,NIC,93,1982,1
688,USA,2,NIC,93,1983,1
689,USA,2,NIC,93,1984,1
690,USA,2,NIC,93,1985,1
691,USA,2,NIC,93,1986,1
692,USA,2,NIC,93,1987,1
693,USA,2,NIC,93,1988,1
694,USA,2,NIC,93,1989,1
695,USA,2,NIC,93,1990,1
696,USA,2,NIC,93,1991,1
697,USA,2,NIC,93,1992,1
698,USA,2,NIC,93,1993,1
699,USA,2,NIC,93,1994,1
700,USA,2,NIC,93,1995,1
701,USA,2,NIC,93,1996,1
702,USA,2,NIC,93,1997,1
703,USA,2,NIC,93,1998,1
704,USA,2,NIC,93,1999,1
705,USA,2,NIC,93,2000,1
706,USA,2,NIC,93,2001,1
707,USA,2,NIC,93,2002,1
708,USA,2,NIC,93,2003,1
709,USA,2,NIC,93,2004,1
710,USA,2,NIC,93,2005,1
711,USA,2,COS,94,1965,1
712,USA,2,COS,94,1966,1
713,USA,2,COS,94,1967,1
714,USA,2,COS,94,1968,1
715,USA,2,COS,94,1969,1
716,USA,2,COS,94,1970,1
717,USA,2,COS,94,1971,1
718,USA,2,COS,94,1972,1
719,USA,2,COS,94,1973,1
720,USA,2,COS,94,1974,1
721,USA,2,COS,94,1975,1
722,USA,2,COS,94,1976,1
723,USA,2,COS,94,1977,1
724,USA,2,COS,94,1978,1
725,USA,2,COS,94,1979,1
726,USA,2,COS,94,1980,1
727,USA,2,COS,94,1981,1
728,USA,2,COS,94,1982,1
729,USA,2,COS,94,1983,1
730,USA,2,COS,94,1984,1
731,USA,2,COS,94,1985,1
732,USA,2,COS,94,1986,1
733,USA,2,COS,94,1987,1
734,USA,2,COS,94,1988,1
735,USA,2,COS,94,1989,1
736,USA,2,COS,94,1990,1
737,USA,2,COS,94,1991,1
738,USA,2,COS,94,1992,1
739,USA,2,COS,94,1993,1
740,USA,2,COS,94,1994,1
741,USA,2,COS,94,1995,1
742,USA,2,COS,94,1996,1
743,USA,2,COS,94,1997,1
744,USA,2,COS,94,1998,1
745,USA,2,COS,94,1999,1
746,USA,2,COS,94,2000,1
747,USA,2,COS,94,2001,1
748,USA,2,COS,94,2002,1
749,USA,2,COS,94,2003,1
750,USA,2,COS,94,2004,1
751,USA,2,COS,94,2005,1
752,USA,2,PAN,95,1965,1
753,USA,2,PAN,95,1966,1
754,USA,2,PAN,95,1967,1
755,USA,2,PAN,95,1968,1
756,USA,2,PAN,95,1969,1
757,USA,2,PAN,95,1970,1
758,USA,2,PAN,95,1971,1
759,USA,2,PAN,95,1972,1
760,USA,2,PAN,95,1973,1
761,USA,2,PAN,95,1974,1
762,USA,2,PAN,95,1975,1
763,USA,2,PAN,95,1976,1
764,USA,2,PAN,95,1977,1
765,USA,2,PAN,95,1978,1
766,USA,2,PAN,95,1979,1
767,USA,2,PAN,95,1980,1
768,USA,2,PAN,95,1981,1
769,USA,2,PAN,95,1982,1
770,USA,2,PAN,95,1983,1
771,USA,2,PAN,95,1984,1
