id,stateabb,ccode,year,major
804,TRI,52,2014,0
805,BAR,53,1966,0
806,BAR,53,1967,0
807,BAR,53,1968,0
808,BAR,53,1969,0
809,BAR,53,1970,0
810,BAR,53,1971,0
811,BAR,53,1972,0
812,BAR,53,1973,0
813,BAR,53,1974,0
814,BAR,53,1975,0
815,BAR,53,1976,0
816,BAR,53,1977,0
817,BAR,53,1978,0
818,BAR,53,1979,0
819,BAR,53,1980,0
820,BAR,53,1981,0
821,BAR,53,1982,0
822,BAR,53,1983,0
823,BAR,53,1984,0
824,BAR,53,1985,0
825,BAR,53,1986,0
826,BAR,53,1987,0
827,BAR,53,1988,0
828,BAR,53,1989,0
829,BAR,53,1990,0
830,BAR,53,1991,0
831,BAR,53,1992,0
832,BAR,53,1993,0
833,BAR,53,1994,0
834,BAR,53,1995,0
835,BAR,53,1996,0
836,BAR,53,1997,0
837,BAR,53,1998,0
838,BAR,53,1999,0
839,BAR,53,2000,0
840,BAR,53,2001,0
841,BAR,53,2002,0
842,BAR,53,2003,0
843,BAR,53,2004,0
844,BAR,53,2005,0
845,BAR,53,2006,0
846,BAR,53,2007,0
847,BAR,53,2008,0
848,BAR,53,2009,0
849,BAR,53,2010,0
850,BAR,53,2011,0
851,BAR,53,2012,0
852,BAR,53,2013,0
853,BAR,53,2014,0
854,DMA,54,1978,0
855,DMA,54,1979,0
856,DMA,54,1980,0
857,DMA,54,1981,0
858,DMA,54,1982,0
859,DMA,54,1983,0
860,DMA,54,1984,0
861,DMA,54,1985,0
862,DMA,54,1986,0
863,DMA,54,1987,0
864,DMA,54,1988,0
865,DMA,54,1989,0
866,DMA,54,1990,0
867,DMA,54,1991,0
868,DMA,54,1992,0
869,DMA,54,1993,0
870,DMA,54,1994,0
871,DMA,54,1995,0
872,DMA,54,1996,0
873,DMA,54,1997,0
874,DMA,54,1998,0
875,DMA,54,1999,0
876,DMA,54,2000,0
877,DMA,54,2001,0
878,DMA,54,2002,0
879,DMA,54,2003,0
880,DMA,54,2004,0
881,DMA,54,2005,0
882,DMA,54,2006,0
883,DMA,54,2007,0
