id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
710,USA,2,GUA,90,1936,0,932600,2100,128181.0,2020.0
711,USA,2,GUA,90,1937,0,1032900,1800,128961.0,2070.0
712,USA,2,GUA,90,1938,0,1131499,1900,129969.0,2110.0
713,USA,2,GUA,90,1939,0,980000,1880,131028.0,2150.0
714,USA,2,GUA,90,1940,0,1657000,-9,132122.0,2200.0
715,USA,2,GUA,90,1941,0,6301000,-9,133402.0,2250.0
716,USA,2,GUA,90,1942,0,26001000,1900,134860.0,2300.0
717,USA,2,GUA,90,1943,0,72109000,-9,136739.0,2340.0
718,USA,2,GUA,90,1944,0,87000000,1900,138397.0,2390.0
719,USA,2,GUA,90,1945,1,90000000,-9,139928.0,2440.0
720,USA,2,GUA,90,1946,1,45133984,3366,141389.0,2500.0
721,USA,2,GUA,90,1947,1,14315999,3474,144126.0,2570.0
722,USA,2,GUA,90,1948,1,10960998,3871,147208.0,2641.0
723,USA,2,GUA,90,1949,1,13503000,5161,149767.0,2724.0
724,USA,2,GUA,90,1950,1,14559000,5062,152271.0,2969.0
725,USA,2,GUA,90,1951,1,33398000,5558,154878.0,2892.0
726,USA,2,GUA,90,1952,1,47852000,5955,157553.0,2981.0
727,USA,2,GUA,90,1953,1,49621008,5955,160184.0,3058.0
728,USA,2,GUA,90,1954,1,42786000,6650,163026.0,3159.0
729,USA,2,GUA,90,1955,1,40518000,7940,165931.0,3258.0
730,USA,2,GUA,90,1956,1,41773008,8800,168903.0,3347.0
731,USA,2,GUA,90,1957,1,44548000,9300,171984.0,3451.0
732,USA,2,GUA,90,1958,1,45503008,9800,174882.0,3546.0
733,USA,2,GUA,90,1959,1,46614000,9800,177830.0,3652.0
734,USA,2,GUA,90,1960,1,45380000,9400,180671.0,3964.0
735,USA,2,GUA,90,1961,1,47808000,9200,183691.0,4079.0
736,USA,2,GUA,90,1962,1,52381008,9300,186538.0,4197.0
737,USA,2,GUA,90,1963,1,52295008,10200,189242.0,4318.0
738,USA,2,GUA,90,1964,1,51213008,12700,191889.0,4442.0
739,USA,2,GUA,90,1965,1,51827008,14300,194303.0,4568.0
740,USA,2,GUA,90,1966,1,67572000,14700,196560.0,4698.0
741,USA,2,GUA,90,1967,1,75448000,16400,198712.0,4830.0
742,USA,2,GUA,90,1968,1,80732000,15700,200706.0,4964.0
743,USA,2,GUA,90,1969,1,81446000,15600,202677.0,5103.0
744,USA,2,GUA,90,1970,1,77827008,17200,205052.0,5246.0
745,USA,2,GUA,90,1971,1,74862000,18500,207661.0,5393.0
746,USA,2,GUA,90,1972,1,77639000,22500,209896.0,5544.0
747,USA,2,GUA,90,1973,1,78385000,21500,211909.0,5699.0
748,USA,2,GUA,90,1974,1,85906000,27400,213854.0,5858.0
749,USA,2,GUA,90,1975,1,90948000,42900,215973.0,6023.0
750,USA,2,GUA,90,1976,1,91013000,49600,218035.0,6191.0
751,USA,2,GUA,90,1977,1,100925000,77700,220239.0,6364.0
752,USA,2,GUA,90,1978,1,109247000,73200,222585.0,6543.0
753,USA,2,GUA,90,1979,1,122279000,81899,225055.0,6726.0
754,USA,2,GUA,90,1980,1,143981000,109090,227726.0,6917.0
755,USA,2,GUA,90,1981,1,169888000,131209,229966.0,7113.0
756,USA,2,GUA,90,1982,1,196345000,165114,232188.0,7315.0
