stateabb,ccode,year,democ,autoc,polity,polity2
SEN,433,1987,2,3,-1,-1
SEN,433,1988,2,3,-1,-1
SEN,433,1989,2,3,-1,-1
SEN,433,1990,2,3,-1,-1
SEN,433,1991,2,3,-1,-1
SEN,433,1992,2,3,-1,-1
SEN,433,1993,2,3,-1,-1
SEN,433,1994,2,3,-1,-1
SEN,433,1995,2,3,-1,-1
SEN,433,1996,2,3,-1,-1
SEN,433,1997,2,3,-1,-1
SEN,433,1998,2,3,-1,-1
SEN,433,1999,2,3,-1,-1
SEN,433,2000,8,0,8,8
SEN,433,2001,8,0,8,8
SEN,433,2002,8,0,8,8
SEN,433,2003,8,0,8,8
SEN,433,2004,8,0,8,8
SEN,433,2005,8,0,8,8
SEN,433,2006,8,0,8,8
SEN,433,2007,7,0,7,7
SEN,433,2008,7,0,7,7
SEN,433,2009,7,0,7,7
SEN,433,2010,7,0,7,7
SEN,433,2011,7,0,7,7
SEN,433,2012,7,0,7,7
SEN,433,2013,7,0,7,7
SEN,433,2014,7,0,7,7
SEN,433,2015,7,0,7,7
SEN,433,2016,7,0,7,7
SEN,433,2017,7,0,7,7
SEN,433,2018,7,0,7,7
SER,342,1830,0,7,-7,-7
SER,342,1831,0,7,-7,-7
SER,342,1832,0,7,-7,-7
SER,342,1833,0,7,-7,-7
SER,342,1834,0,7,-7,-7
SER,342,1835,0,7,-7,-7
SER,342,1836,0,7,-7,-7
SER,342,1837,0,7,-7,-7
SER,342,1838,5,3,2,2
SER,342,1839,5,3,2,2
SER,342,1840,5,3,2,2
SER,342,1841,5,3,2,2
SER,342,1842,5,3,2,2
SER,342,1843,5,3,2,2
SER,342,1844,5,3,2,2
SER,342,1845,5,3,2,2
SER,342,1846,5,3,2,2
SER,342,1847,5,3,2,2
SER,342,1848,5,3,2,2
SER,342,1849,5,3,2,2
SER,342,1850,5,3,2,2
SER,342,1851,5,3,2,2
SER,342,1852,5,3,2,2
SER,342,1853,5,3,2,2
SER,342,1854,5,3,2,2
SER,342,1855,5,3,2,2
SER,342,1856,5,3,2,2
SER,342,1857,5,3,2,2
SER,342,1858,0,9,-9,-9
SER,342,1859,0,9,-9,-9
SER,342,1860,-88,-88,-88,-4
SER,342,1861,3,3,0,0
SER,342,1862,3,3,0,0
SER,342,1863,3,3,0,0
SER,342,1864,3,3,0,0
SER,342,1865,3,3,0,0
SER,342,1866,3,3,0,0
SER,342,1867,3,3,0,0
SER,342,1868,-88,-88,-88,-3
SER,342,1869,1,6,-5,-5
SER,342,1870,1,6,-5,-5
SER,342,1871,1,6,-5,-5
SER,342,1872,1,6,-5,-5
SER,342,1873,1,6,-5,-5
SER,342,1874,1,6,-5,-5
SER,342,1875,1,6,-5,-5
SER,342,1876,1,6,-5,-5
SER,342,1877,1,6,-5,-5
SER,342,1878,1,6,-5,-5
SER,342,1879,1,6,-5,-5
SER,342,1880,1,6,-5,-5
SER,342,1881,1,6,-5,-5
SER,342,1882,1,6,-5,-5
SER,342,1883,1,6,-5,-5
SER,342,1884,1,6,-5,-5
SER,342,1885,1,6,-5,-5
SER,342,1886,1,6,-5,-5
SER,342,1887,1,6,-5,-5
SER,342,1888,1,6,-5,-5
SER,342,1889,1,6,-5,-5
SER,342,1890,1,6,-5,-5
SER,342,1891,1,6,-5,-5
SER,342,1892,1,6,-5,-5
SER,342,1893,1,6,-5,-5
SER,342,1894,1,6,-5,-5
SER,342,1895,1,6,-5,-5
SER,342,1896,1,6,-5,-5
SER,342,1897,1,6,-5,-5
SER,342,1898,1,6,-5,-5
SER,342,1899,1,6,-5,-5
SER,342,1900,1,6,-5,-5
SER,342,1901,1,6,-5,-5
SER,342,1902,1,6,-5,-5
SER,342,1903,5,1,4,4
SER,342,1904,5,1,4,4
SER,342,1905,5,1,4,4
SER,342,1906,5,1,4,4
SER,342,1907,5,1,4,4
SER,342,1908,5,1,4,4
SER,342,1909,5,1,4,4
SER,342,1910,5,1,4,4
SER,342,1911,5,1,4,4
SER,342,1912,5,1,4,4
SER,342,1913,5,1,4,4
SER,342,1914,5,1,4,4
SER,342,1915,-66,-66,-66,
SER,342,1916,-66,-66,-66,
SER,342,1917,-88,-88,-88,4
SER,342,1918,-88,-88,-88,5
SER,342,1919,-88,-88,-88,6
SER,342,1920,-88,-88,-88,7
SER,342,2006,9,1,8,8
SER,342,2007,9,1,8,8
SER,342,2008,9,1,8,8
SER,342,2009,9,1,8,8
SER,342,2010,9,1,8,8
SER,342,2011,9,1,8,8
SER,342,2012,9,1,8,8
SER,342,2013,9,1,8,8
SER,342,2014,9,1,8,8
SER,342,2015,9,1,8,8
SER,342,2016,9,1,8,8
SER,342,2017,9,1,8,8
SER,342,2018,9,1,8,8
SIC,329,1816,0,10,-10,-10
SIC,329,1817,0,10,-10,-10
SIC,329,1818,0,10,-10,-10
SIC,329,1819,0,10,-10,-10
SIC,329,1820,1,7,-6,-6
SIC,329,1821,0,10,-10,-10
SIC,329,1822,0,10,-10,-10
SIC,329,1823,0,10,-10,-10
SIC,329,1824,0,10,-10,-10
SIC,329,1825,0,10,-10,-10
SIC,329,1826,0,10,-10,-10
SIC,329,1827,0,10,-10,-10
SIC,329,1828,0,10,-10,-10
